5/18/2012,(9) Milos Koprivica d. Bjorn Munroe,3-6; 6-1; 6-4
5/18/2012,(6) Ricardo Mena d. Sebastian Acuna,6-3; 6-2
5/18/2012,Tianyu Bao d. (9) Derek Madon,7-5; 6-2
5/18/2012,(7) Adrian Bohane d. (9) Andrew Lake,3-6; 7-6(4); 6-4
5/18/2012,Kenneth Sabacinski d. (5) Keith Whittingham,6-3; 6-3
5/18/2012,(3) Oleg Dmitriev d. (9) Jeff Zenisek,7-5; 6-4
5/18/2012,(8) Paulo Barros d. Gonzalo Gayoso,6-2; 6-1
5/18/2012,(1) Matt Bocko d. (9) Diego Brunicardi,6-3; 6-4
5/18/2012,Bjorn Munroe d. Lance Lvovsky,6-3; 6-2
5/18/2012,(9) Milos Koprivica d. Matthew Rock,6-0; 6-1
5/18/2012,(6) Ricardo Mena d. Jesse Feder,6-2; 1-1Ret (inj)
5/18/2012,Sebastian Acuna d. Piero Desiderio,6-0; 6-3
5/18/2012,Tianyu Bao d. Eduardo Pacheco,6-3; 6-4
5/18/2012,(9) Derek Madon d. Edward Elliott V.,2-6; 6-4; 6-3
5/18/2012,(7) Adrian Bohane d. Daniel Vardag,6-3; 6-3
5/18/2012,(9) Andrew Lake d. Peter Carpenter,6-4; 6-1
5/18/2012,Kenneth Sabacinski d. (9) Jack Barber,6-3; 6-0
5/18/2012,(5) Keith Whittingham d. Dustin Goldenberg,6-4; 7-5
5/18/2012,(9) Jeff Zenisek d. Nikita Borodatov,3-6; 6-3; 6-1
5/18/2012,(3) Oleg Dmitriev d. Rafael Alvarez,6-0; 6-0
5/18/2012,Gonzalo Gayoso d. Amyn Soldier-Mukadam,6-3; 2-6; 7-6(3)
5/18/2012,(8) Paulo Barros d. Joseph Correa,6-0; 6-2
5/18/2012,(9) Diego Brunicardi d. Mario Becerra,6-3; 6-2
5/18/2012,(1) Matt Bocko d. alexander yarkov,6-0; 6-1
5/18/2012,Lance Lvovsky d. Franco Mata,Def (ns)
5/18/2012,Bjorn Munroe d. Zachary Pelts,6-2; 6-0
5/18/2012,(9) Milos Koprivica d. Kyle Staton,6-1; 6-1
5/18/2012,Matthew Rock d. Ross Nigro,6-4; 6-3
5/18/2012,(6) Ricardo Mena d. Mark Schanerman,6-1; 6-4
5/18/2012,Jesse Feder d. Luis Duco,6-1; 6-2
5/18/2012,Sebastian Acuna d. (9) Stefan Kozlov,3-6; 6-2; 4-5Ret (inj)
5/18/2012,Piero Desiderio d. Chris Wilson,6-2; 7-6(4)
5/18/2012,Tianyu Bao d. (4) Brian Dushock,7-5; 3-6; 6-2
5/18/2012,Eduardo Pacheco d. Rand Hogen,6-0; 3-0Ret (ill)
5/18/2012,(9) Derek Madon d. Grady Clay,6-0; 6-0
5/18/2012,Edward Elliott V. d. Vitaliy Pereverzev,2-6; 7-6(5); 6-4
5/18/2012,(7) Adrian Bohane d. Filip Pavlovic,6-3; 6-2
5/18/2012,Daniel Vardag d. Antonio Maciasvaldes,6-2; 6-0
5/18/2012,(9) Andrew Lake d. Eric Kent,6-0; 6-1
5/18/2012,Peter Carpenter d. Jimmi Parsons,6-1; 2-6; 7-5
5/18/2012,Kenneth Sabacinski d. Joey Unkenholz,6-1; 7-6(0)
5/18/2012,(9) Jack Barber d. Mirko Radosevic,6-4; 6-2
5/18/2012,Dustin Goldenberg d. Andrew Rifkin,6-3; 6-3
5/18/2012,(5) Keith Whittingham d. Mario Porcelli,6-3; 6-4
5/18/2012,Nikita Borodatov d. Christian Ratsek,5-7; 6-3; 1-1Ret (inj)
5/18/2012,(9) Jeff Zenisek d. Nicholas Nieto,6-4; 4-6; 6-3
5/18/2012,Rafael Alvarez d. Robert Jakubik,6-3; 6-1
5/18/2012,(3) Oleg Dmitriev d. John Soderberg,6-0; 6-0
5/18/2012,Amyn Soldier-Mukadam d. Charles Maher,6-2; 6-3
5/18/2012,Gonzalo Gayoso d. (9) Carlos Gomez-Diaz,Wd (emerg)
5/18/2012,Joseph Correa d. Sumner Chase,6-0; 6-1
5/18/2012,(8) Paulo Barros d. Hillel Harris,6-1; 6-1
5/18/2012,Mario Becerra d. James McAvoy,6-0; 6-1
5/18/2012,(9) Diego Brunicardi d. T J Urhobo,6-0; 6-4
5/18/2012,alexander yarkov d. Tokuho Inoue,6-0; 6-0
5/18/2012,(1) Matt Bocko d. Jakub Wojcik,6-0; 6-0
5/18/2012,Lance Lvovsky d. Rico Gore,6-0; 6-2
5/18/2012,Ross Nigro d. Matere Alban,6-2; 6-3
5/18/2012,Chris Wilson d. Mirek Wierzbicki,6-1; 6-2
5/18/2012,Eduardo Pacheco d. Haja Denise,6-1; 6-1
5/18/2012,Edward Elliott V. d. Charles Degorge,6-0; 6-1
5/18/2012,Daniel Vardag d. Bryant Mohns,6-2; 6-1
5/18/2012,Jimmi Parsons d. John Sellars,6-0; 6-1
5/18/2012,Mirko Radosevic d. Ricardo Almeida,5-7; 6-3; 6-3
5/18/2012,Mario Porcelli d. Tony Tringali,6-2; 6-1
5/18/2012,Nikita Borodatov d. Jeremy Orme,6-1; 6-4
5/18/2012,Nicholas Nieto d. EJ Sanford,6-3; 7-5
5/18/2012,Gonzalo Gayoso d. Robert Dubuque,6-4; 6-0
5/18/2012,Joseph Correa d. Victor Gurevich,6-2; 6-3
5/18/2012,Mario Becerra d. Jacob Jensen,3-0Ret (inj)
5/18/2012,Filip Pavlovic d. Jakub Wojcik,6-4; 6-0
5/18/2012,Jakub Wojcik d. James McAvoy,
5/18/2012,Filip Pavlovic d. Eric Kent,6-2; 7-5
5/18/2012,James McAvoy d. EJ Sanford,Def (ns)
5/18/2012,Jakub Wojcik d. Hillel Harris,7-5; 7-5
5/18/2012,Filip Pavlovic d. Antonio Maciasvaldes,6-2; 6-2
5/18/2012,Eric Kent d. Rand Hogen,6-1; 6-0
5/18/2012,EJ Sanford d. Vitaliy Pereverzev,Wo (inj)
5/18/2012,James McAvoy d. Mirek Wierzbicki,6-0; 6-0
5/18/2012,Jakub Wojcik d. Victor Gurevich,3-6; 6-2; 6-1
5/18/2012,Hillel Harris d. Kyle Staton,Wd (emerg)
5/18/2012,Antonio Maciasvaldes d. Grady Clay,6-1; 6-1
5/18/2012,Filip Pavlovic d. Tokuho Inoue,6-1; 6-0
5/18/2012,Eric Kent d. Matere Alban,Wd (emerg)
5/18/2012,Rand Hogen d. Tony Tringali,Wo (emerg)
5/18/2012,Vitaliy Pereverzev d. John Soderberg,6-0; 6-1
5/18/2012,James McAvoy d. Haja Denise,6-0; 6-0
5/18/2012,Hillel Harris d. John Sellars,6-2; 6-2
5/18/2012,Grady Clay d. Zachary Pelts,3-1Ret (quit)
5/18/2012,Filip Pavlovic d. T J Urhobo,6-2; 6-3
5/18/2012,Eric Kent d. Charles Degorge,6-2; 6-2
5/18/2012,Tony Tringali d. Bryant Mohns,3-6; 6-3; 6-3
5/21/2012,(2) Oleg Dmitriev d. (8) jose calero,6-4; 6-3
5/21/2012,(3) Juan Rocha d. Luis Garcia,6-2; 6-1
5/21/2012,(2) Oleg Dmitriev d. Boris Kozlov,6-0; 6-0
5/21/2012,(8) jose calero d. Trey Halbauer,7-6(3); 6-1
5/21/2012,(3) Juan Rocha d. (7) Nate Shanok,6-3; 6-0
5/21/2012,Luis Garcia d. (1) Brian Dushock,6-1; 7-5
5/21/2012,(2) Oleg Dmitriev d. Alejo Apud,6-3; 3-6; 6-2
5/21/2012,Boris Kozlov d. (5) Charles Degorge,6-4; 6-2
5/21/2012,Trey Halbauer d. Maxim Borcuti,6-7(2); 6-3; 6-2
